term,slug,cluster,status,priority,keywords
What is an AI Agent,what-is-an-ai-agent,ai-agents,done,1,"AI agent, autonomous AI, AI assistant, intelligent agent, AI automation"
What is Attention Mechanism,what-is-attention-mechanism,llms,done,1,"attention mechanism, transformer model, neural network, AI attention, self-attention"
What is Accuracy in AI,what-is-accuracy-in-ai,ai-basics,done,1,"AI accuracy, model accuracy, machine learning accuracy, AI performance, prediction accuracy"
What is Activation Function,what-is-activation-function,ai-basics,done,1,"activation function, neural network, ReLU, sigmoid, deep learning"
What is AI Safety,what-is-ai-safety,ai-basics,done,1,"AI safety, responsible AI, AI risk, AI alignment, safe AI"
What is AI Alignment,what-is-ai-alignment,ai-basics,done,1,"AI alignment, value alignment, AI safety, AI ethics, superintelligence"
What is AGI,what-is-agi,ai-basics,failed,1,"AGI, artificial general intelligence, human-level AI, strong AI, superintelligence"
What is AI Ethics,what-is-ai-ethics,ai-basics,done,1,"AI ethics, ethical AI, responsible AI, AI bias, AI morality"
What is AI Governance,what-is-ai-governance,ai-basics,failed,2,"AI governance, AI regulation, AI policy, AI oversight, AI compliance"
What is AI Image Generation,what-is-ai-image-generation,ai-tools,failed,1,"AI image generation, text-to-image, generative AI, DALL-E, Midjourney"
What is AI Video Generation,what-is-ai-video-generation,ai-tools,failed,1,"AI video generation, text-to-video, generative AI, Sora, AI video maker"
What is AI Music Generation,what-is-ai-music-generation,ai-tools,done,2,"AI music generation, AI music, text-to-music, generative AI, AI composer"
What is AI Code Generation,what-is-ai-code-generation,ai-tools,done,1,"AI code generation, AI coding, GitHub Copilot, code assistant, AI programming"
What is AI Writing Assistant,what-is-ai-writing-assistant,ai-tools,done,1,"AI writing assistant, AI writer, content generator, AI copywriting, ChatGPT writing"
What is AI Chatbot,what-is-ai-chatbot,ai-tools,done,1,"AI chatbot, conversational AI, ChatGPT, virtual assistant, AI chat"
What is Alexa AI,what-is-alexa-ai,ai-tools,done,2,"Alexa, Amazon Alexa, voice assistant, smart speaker, AI assistant"
What is AutoGPT,what-is-autogpt,ai-agents,done,1,"AutoGPT, autonomous AI agent, GPT-4, AI automation, self-prompting AI"
What is AI Workflow Automation,what-is-ai-workflow-automation,ai-agents,failed,1,"AI workflow automation, AI automation, workflow AI, business automation, intelligent automation"
What is AI Orchestration,what-is-ai-orchestration,ai-agents,failed,2,"AI orchestration, AI workflow, multi-agent AI, AI pipeline, agent orchestration"
What is Agentic AI,what-is-agentic-ai,ai-agents,failed,1,"agentic AI, AI agent, autonomous AI, AI action, proactive AI"
What is AI Memory,what-is-ai-memory,ai-agents,done,1,"AI memory, AI context, conversational memory, long-term memory AI, AI recall"
What is AI Planning,what-is-ai-planning,ai-agents,done,2,"AI planning, AI task planning, autonomous planning, AI reasoning, AI goal setting"
What is AI API,what-is-ai-api,ai-infrastructure,done,1,"AI API, OpenAI API, AI integration, API access, AI developer tools"
What is AI Model,what-is-ai-model,ai-basics,done,1,"AI model, machine learning model, neural network, foundation model, trained model"
What is AI Benchmark,what-is-ai-benchmark,ai-basics,done,2,"AI benchmark, model evaluation, AI performance, benchmark test, LLM benchmark"
What is AI Pipeline,what-is-ai-pipeline,ai-infrastructure,done,2,"AI pipeline, data pipeline, ML pipeline, AI workflow, data processing"
What is AI Monitoring,what-is-ai-monitoring,ai-infrastructure,done,2,"AI monitoring, model monitoring, AI observability, ML monitoring, AI performance tracking"
What is AI Guardrails,what-is-ai-guardrails,ai-safety,done,1,"AI guardrails, AI safety, content filtering, AI boundaries, responsible AI"
What is AI Watermarking,what-is-ai-watermarking,ai-safety,done,2,"AI watermarking, digital watermark, AI content, content authentication, deepfake detection"
What is AI Detection,what-is-ai-detection,ai-safety,done,1,"AI detection, AI content detection, plagiarism checker, AI writing detector, deepfake detector"
What is AI Regulation,what-is-ai-regulation,ai-safety,done,2,"AI regulation, AI law, AI policy, AI act, AI compliance"
What is AI Avatar,what-is-ai-avatar,ai-tools,done,2,"AI avatar, digital avatar, virtual avatar, AI character, AI profile picture"
What is AI Companion,what-is-ai-companion,ai-tools,done,2,"AI companion, AI friend, virtual companion, AI chatbot, Replika"
What is AI Search,what-is-ai-search,ai-tools,done,1,"AI search, AI-powered search, semantic search, intelligent search, search AI"
What is AI Summarizer,what-is-ai-summarizer,ai-tools,done,1,"AI summarizer, text summarization, AI summary, document summarizer, AI article summary"
What is AI Transcription,what-is-ai-transcription,ai-tools,done,1,"AI transcription, speech-to-text, automatic transcription, voice recognition, AI transcribe"
What is AI Photo Editing,what-is-ai-photo-editing,ai-tools,done,2,"AI photo editing, AI image editor, photo AI, automatic photo edit, AI enhancement"
What is AI Upscaling,what-is-ai-upscaling,ai-tools,done,2,"AI upscaling, image upscaling, AI upscale, resolution enhancement, AI image enhancer"
What is AI Background Removal,what-is-ai-background-removal,ai-tools,done,2,"AI background removal, background remover, image segmentation, remove background, AI photo editor"
What is Autonomous Vehicle AI,what-is-autonomous-vehicle-ai,ai-basics,failed,1,"autonomous vehicle, self-driving car, autonomous driving, AI car, driverless vehicle"
What is AI in Healthcare,what-is-ai-in-healthcare,ai-basics,done,1,"AI healthcare, medical AI, healthcare AI, AI diagnosis, AI medicine"
What is AI in Finance,what-is-ai-in-finance,ai-basics,done,2,"AI finance, fintech AI, AI trading, financial AI, AI banking"
What is AI in Education,what-is-ai-in-education,ai-basics,done,2,"AI education, EdTech, AI tutoring, AI learning, personalized learning"
